,date,time,symbol,strike,expiry,open,high,low,close,volume,oi,prefix,option_type
6,220103,33300,NIFTY06012216000CE,16000,220106,1420.0,1420.0,1420.0,1420.0,50,17150,NIFTY060122,CE
2169,220103,33300,NIFTY06012217250CE,17250,220106,196.15,230.25,191.85,224.05,68150,256600,NIFTY060122,CE
12880,220103,33300,NIFTY06012218850CE,18850,220106,1.25,1.25,1.25,1.25,200,13000,NIFTY060122,CE
12632,220103,33300,NIFTY06012218800CE,18800,220106,1.0,1.05,0.9,1.0,1700,129750,NIFTY060122,CE
4791,220103,33300,NIFTY06012217600CE,17600,220106,32.95,44.3,16.5,40.2,535000,2022850,NIFTY060122,CE
1078,220103,33300,NIFTY06012217050CE,17050,220106,360.25,388.4,360.25,384.3,200,17300,NIFTY060122,CE
12214,220103,33300,NIFTY06012218700CE,18700,220106,0.75,1.1,0.75,1.1,250,149400,NIFTY060122,CE
7416,220103,33300,NIFTY06012217950CE,17950,220106,2.55,3.4,2.55,2.85,22600,294200,NIFTY060122,CE
138,220103,33300,NIFTY06012216550CE,16550,220106,879.25,879.25,879.25,879.25,50,1200,NIFTY060122,CE
8166,220103,33300,NIFTY06012218050CE,18050,220106,0.85,1.9,0.8,1.8,18200,144900,NIFTY060122,CE
14721,220103,33300,NIFTY06012219550CE,19550,220106,0.8,0.8,0.8,0.8,200,550,NIFTY060122,CE
11768,220103,33300,NIFTY06012218600CE,18600,220106,1.05,1.1,0.95,1.05,8250,102550,NIFTY060122,CE
713,220103,33300,NIFTY06012217000CE,17000,220106,387.1,442.7,387.05,438.65,19150,360650,NIFTY060122,CE
13088,220103,33300,NIFTY06012218900CE,18900,220106,1.25,1.25,0.8,0.9,1200,72050,NIFTY060122,CE
14775,220103,33300,NIFTY06012219600CE,19600,220106,0.7,0.7,0.6,0.6,100,245300,NIFTY060122,CE
5166,220103,33300,NIFTY06012217650CE,17650,220106,23.0,31.6,15.1,28.0,143300,1085600,NIFTY060122,CE
13433,220103,33300,NIFTY06012219000CE,19000,220106,0.8,1.0,0.65,0.75,5550,491450,NIFTY060122,CE
8537,220103,33300,NIFTY06012218100CE,18100,220106,1.85,1.85,1.4,1.55,82050,951900,NIFTY060122,CE
5541,220103,33300,NIFTY06012217700CE,17700,220106,8.4,21.5,2.65,18.8,520150,2412600,NIFTY060122,CE
1209,220103,33300,NIFTY06012217100CE,17100,220106,314.8,351.85,311.9,349.35,20250,244400,NIFTY060122,CE
10961,220103,33300,NIFTY06012218450CE,18450,220106,1.15,1.15,0.95,1.0,400,10150,NIFTY060122,CE
5916,220103,33300,NIFTY06012217750CE,17750,220106,12.0,14.25,7.35,12.2,121000,1160050,NIFTY060122,CE
7041,220103,33300,NIFTY06012217900CE,17900,220106,3.25,4.25,3.1,3.6,160400,1856300,NIFTY060122,CE
11197,220103,33300,NIFTY06012218500CE,18500,220106,1.25,1.25,0.95,1.15,41350,2994050,NIFTY060122,CE
11565,220103,33300,NIFTY06012218550CE,18550,220106,1.05,1.05,1.0,1.0,900,10250,NIFTY060122,CE
651,220103,33300,NIFTY06012216950CE,16950,220106,476.45,476.45,476.15,476.15,1000,16300,NIFTY060122,CE
4416,220103,33300,NIFTY06012217550CE,17550,220106,45.0,60.0,41.65,56.0,188200,751950,NIFTY060122,CE
149,220103,33300,NIFTY06012216600CE,16600,220106,780.9,780.9,780.9,780.9,50,19250,NIFTY060122,CE
2916,220103,33300,NIFTY06012217350CE,17350,220106,135.0,161.4,129.75,155.75,299550,1037700,NIFTY060122,CE
4041,220103,33300,NIFTY06012217500CE,17500,220106,59.05,79.8,55.05,75.25,951750,2673050,NIFTY060122,CE
10628,220103,33300,NIFTY06012218400CE,18400,220106,1.2,1.2,1.0,1.1,13400,170050,NIFTY060122,CE
8912,220103,33300,NIFTY06012218150CE,18150,220106,1.35,1.35,1.15,1.25,4200,51300,NIFTY060122,CE
14169,220103,33300,NIFTY06012219300CE,19300,220106,0.95,0.95,0.95,0.95,100,30650,NIFTY060122,CE
9284,220103,33300,NIFTY06012218200CE,18200,220106,1.35,1.35,1.0,1.15,49050,886100,NIFTY060122,CE
9659,220103,33300,NIFTY06012218250CE,18250,220106,1.15,1.15,1.05,1.1,1050,28150,NIFTY060122,CE
6291,220103,33300,NIFTY06012217800CE,17800,220106,7.3,9.3,4.65,7.85,385450,2054550,NIFTY060122,CE
9992,220103,33300,NIFTY06012218300CE,18300,220106,1.2,1.2,1.0,1.1,12950,362700,NIFTY060122,CE
13972,220103,33300,NIFTY06012219150CE,19150,220106,1.05,1.05,1.0,1.0,150,3050,NIFTY060122,CE
14017,220103,33300,NIFTY06012219200CE,19200,220106,0.8,0.8,0.75,0.75,250,15900,NIFTY060122,CE
14438,220103,33300,NIFTY06012219500CE,19500,220106,0.5,0.75,0.5,0.75,32250,279750,NIFTY060122,CE
466,220103,33300,NIFTY06012216900CE,16900,220106,536.6,536.6,523.0,523.0,150,128100,NIFTY060122,CE
7791,220103,33300,NIFTY06012218000CE,18000,220106,2.9,2.9,2.15,2.35,253500,4010650,NIFTY060122,CE
14240,220103,33300,NIFTY06012219350CE,19350,220106,0.8,0.8,0.8,0.8,50,1650,NIFTY060122,CE
2541,220103,33300,NIFTY06012217300CE,17300,220106,172.0,194.65,158.65,188.05,474900,2318750,NIFTY060122,CE
3291,220103,33300,NIFTY06012217400CE,17400,220106,110.0,130.0,102.2,125.75,1119000,2336000,NIFTY060122,CE
3666,220103,33300,NIFTY06012217450CE,17450,220106,84.05,103.3,78.95,98.7,380450,818400,NIFTY060122,CE
1794,220103,33300,NIFTY06012217200CE,17200,220106,231.3,269.9,228.35,262.0,180800,1670050,NIFTY060122,CE
295,220103,33300,NIFTY06012216800CE,16800,220106,592.05,625.0,590.0,625.0,950,134700,NIFTY060122,CE
1570,220103,33300,NIFTY06012217150CE,17150,220106,273.7,312.9,273.7,304.2,3450,61250,NIFTY060122,CE
6666,220103,33300,NIFTY06012217850CE,17850,220106,5.0,6.0,3.7,4.95,73700,654000,NIFTY060122,CE
207,220103,33300,NIFTY06012216700CE,16700,220106,709.95,722.15,709.95,718.25,1150,28900,NIFTY060122,CE
10355,220103,33300,NIFTY06012218350CE,18350,220106,1.1,1.1,1.05,1.05,1750,12500,NIFTY060122,CE
5167,220103,33360,NIFTY06012217650CE,17650,220106,28.5,31.35,28.3,30.1,156150,1085600,NIFTY060122,CE
4417,220103,33360,NIFTY06012217550CE,17550,220106,56.3,62.5,56.3,60.8,165450,751950,NIFTY060122,CE
150,220103,33360,NIFTY06012216600CE,16600,220106,780.9,846.55,780.9,846.55,250,19250,NIFTY060122,CE
652,220103,33360,NIFTY06012216950CE,16950,220106,476.15,494.15,476.15,494.15,100,16300,NIFTY060122,CE
11198,220103,33360,NIFTY06012218500CE,18500,220106,1.1,1.15,1.0,1.05,58300,2994050,NIFTY060122,CE
8538,220103,33360,NIFTY06012218100CE,18100,220106,1.55,1.65,1.55,1.65,80450,951900,NIFTY060122,CE
13089,220103,33360,NIFTY06012218900CE,18900,220106,0.9,0.9,0.65,0.75,850,72050,NIFTY060122,CE
14776,220103,33360,NIFTY06012219600CE,19600,220106,0.55,0.55,0.55,0.55,1950,245300,NIFTY060122,CE
8167,220103,33360,NIFTY06012218050CE,18050,220106,1.8,2.05,1.8,2.0,19750,144900,NIFTY060122,CE
12038,220103,33360,NIFTY06012218650CE,18650,220106,1.15,1.15,1.0,1.0,100,12300,NIFTY060122,CE
1079,220103,33360,NIFTY06012217050CE,17050,220106,384.3,411.55,384.3,411.55,250,17300,NIFTY060122,CE
7417,220103,33360,NIFTY06012217950CE,17950,220106,2.9,3.0,2.5,2.75,56950,294200,NIFTY060122,CE
1571,220103,33360,NIFTY06012217150CE,17150,220106,305.6,323.3,304.75,321.1,1700,61250,NIFTY060122,CE
10356,220103,33360,NIFTY06012218350CE,18350,220106,1.1,1.1,1.1,1.1,300,12500,NIFTY060122,CE
467,220103,33360,NIFTY06012216900CE,16900,220106,523.0,553.05,523.0,552.55,650,128100,NIFTY060122,CE
9993,220103,33360,NIFTY06012218300CE,18300,220106,1.1,1.2,1.05,1.05,19100,362700,NIFTY060122,CE
8913,220103,33360,NIFTY06012218150CE,18150,220106,1.25,1.3,1.2,1.3,5600,51300,NIFTY060122,CE
13973,220103,33360,NIFTY06012219150CE,19150,220106,1.0,1.0,0.9,0.9,50,3050,NIFTY060122,CE
6667,220103,33360,NIFTY06012217850CE,17850,220106,4.95,5.45,4.95,5.3,45400,654000,NIFTY060122,CE
208,220103,33360,NIFTY06012216700CE,16700,220106,718.25,731.3,718.25,731.3,100,28900,NIFTY060122,CE
14439,220103,33360,NIFTY06012219500CE,19500,220106,0.7,0.7,0.65,0.65,10500,279750,NIFTY060122,CE
7042,220103,33360,NIFTY06012217900CE,17900,220106,3.6,3.85,3.6,3.75,180350,1856300,NIFTY060122,CE
5917,220103,33360,NIFTY06012217750CE,17750,220106,12.35,13.5,12.35,13.0,94150,1160050,NIFTY060122,CE
10962,220103,33360,NIFTY06012218450CE,18450,220106,1.0,1.0,1.0,1.0,650,10150,NIFTY060122,CE
5542,220103,33360,NIFTY06012217700CE,17700,220106,18.95,20.9,18.95,20.15,473350,2412600,NIFTY060122,CE
13434,220103,33360,NIFTY06012219000CE,19000,220106,0.75,0.8,0.7,0.7,5250,491450,NIFTY060122,CE
11566,220103,33360,NIFTY06012218550CE,18550,220106,1.05,1.05,1.0,1.0,550,10250,NIFTY060122,CE
1210,220103,33360,NIFTY06012217100CE,17100,220106,346.2,366.3,346.2,365.4,9050,244400,NIFTY060122,CE
14279,220103,33360,NIFTY06012219400CE,19400,220106,0.7,0.7,0.7,0.7,700,32800,NIFTY060122,CE
47,220103,33360,NIFTY06012216500CE,16500,220106,935.6,935.6,935.55,935.55,300,34750,NIFTY060122,CE
7792,220103,33360,NIFTY06012218000CE,18000,220106,2.3,2.45,2.3,2.45,319700,4010650,NIFTY060122,CE
14241,220103,33360,NIFTY06012219350CE,19350,220106,0.8,0.8,0.8,0.8,850,1650,NIFTY060122,CE
296,220103,33360,NIFTY06012216800CE,16800,220106,623.35,629.2,623.35,626.9,300,134700,NIFTY060122,CE
9285,220103,33360,NIFTY06012218200CE,18200,220106,1.15,1.25,1.15,1.2,107100,886100,NIFTY060122,CE
10629,220103,33360,NIFTY06012218400CE,18400,220106,1.1,1.15,1.05,1.05,5900,170050,NIFTY060122,CE
4042,220103,33360,NIFTY06012217500CE,17500,220106,75.55,83.8,75.55,81.45,801000,2673050,NIFTY060122,CE
14018,220103,33360,NIFTY06012219200CE,19200,220106,0.7,0.7,0.7,0.7,300,15900,NIFTY060122,CE
6292,220103,33360,NIFTY06012217800CE,17800,220106,7.95,8.6,7.9,8.35,257300,2054550,NIFTY060122,CE
3292,220103,33360,NIFTY06012217400CE,17400,220106,125.45,137.5,125.45,135.05,975050,2336000,NIFTY060122,CE
3667,220103,33360,NIFTY06012217450CE,17450,220106,99.0,108.9,98.8,106.2,356200,818400,NIFTY060122,CE
271,220103,33360,NIFTY06012216750CE,16750,220106,693.55,693.55,693.55,693.55,100,4950,NIFTY060122,CE
2542,220103,33360,NIFTY06012217300CE,17300,220106,188.65,204.65,188.65,201.5,530050,2318750,NIFTY060122,CE
1795,220103,33360,NIFTY06012217200CE,17200,220106,263.95,281.5,263.8,278.8,86600,1670050,NIFTY060122,CE
9660,220103,33360,NIFTY06012218250CE,18250,220106,1.1,1.2,1.1,1.2,2200,28150,NIFTY060122,CE
12881,220103,33360,NIFTY06012218850CE,18850,220106,1.15,1.15,0.8,0.8,100,13000,NIFTY060122,CE
4792,220103,33360,NIFTY06012217600CE,17600,220106,40.65,45.0,40.5,43.5,383550,2022850,NIFTY060122,CE
12633,220103,33360,NIFTY06012218800CE,18800,220106,1.0,1.0,0.7,0.9,2850,129750,NIFTY060122,CE
12215,220103,33360,NIFTY06012218700CE,18700,220106,1.15,1.15,0.85,0.85,6150,149400,NIFTY060122,CE
2170,220103,33360,NIFTY06012217250CE,17250,220106,224.4,241.6,224.4,238.6,25900,256600,NIFTY060122,CE
11769,220103,33360,NIFTY06012218600CE,18600,220106,1.05,1.1,0.9,0.95,1450,102550,NIFTY060122,CE
