,time,open,high,low,close,date,symbol,rsi,candle_color,next_candle_color,next_candle_close,next_candle_open,pattern,next_candle_high,next_candle_low,candle_diff_pct,ATM,new_symbol_call,new_symbol_put
0,33300,37930.55,38204.3,37930.55,38179.9,220110,BANKNIFTY,,Green,Red,38093.55,38184.4,,38221.05,38066.4,,38200,BANKNIFTY13012238200CE,BANKNIFTY13012238200PE
1,33600,38184.4,38221.05,38066.4,38093.55,220110,BANKNIFTY,,Red,Red,38006.35,38095.1,,38128.0,37968.25,,38100,BANKNIFTY13012238100CE,BANKNIFTY13012238100PE
2,33900,38095.1,38128.0,37968.25,38006.35,220110,BANKNIFTY,,Red,Green,38083.05,38000.9,,38089.9,37998.35,0.766,38000,BANKNIFTY13012238000CE,BANKNIFTY13012238000PE
3,34200,38000.9,38089.9,37998.35,38083.05,220110,BANKNIFTY,,Green,Green,38144.95,38086.35,,38181.7,38075.2,0.666,38100,BANKNIFTY13012238100CE,BANKNIFTY13012238100PE
4,34500,38086.35,38181.7,38075.2,38144.95,220110,BANKNIFTY,,Green,Red,38117.15,38148.85,,38166.55,38094.4,0.421,38100,BANKNIFTY13012238100CE,BANKNIFTY13012238100PE
5,34800,38148.85,38166.55,38094.4,38117.15,220110,BANKNIFTY,,Red,Green,38139.3,38111.5,,38154.85,38106.35,0.483,38100,BANKNIFTY13012238100CE,BANKNIFTY13012238100PE
6,35100,38111.5,38154.85,38106.35,38139.3,220110,BANKNIFTY,,Green,Red,38122.4,38141.25,,38164.85,38097.35,0.28,38100,BANKNIFTY13012238100CE,BANKNIFTY13012238100PE
7,35400,38141.25,38164.85,38097.35,38122.4,220110,BANKNIFTY,,Red,Green,38171.7,38125.55,,38180.3,38118.25,0.189,38100,BANKNIFTY13012238100CE,BANKNIFTY13012238100PE
8,35700,38125.55,38180.3,38118.25,38171.7,220110,BANKNIFTY,,Green,Green,38205.6,38173.9,,38237.35,38173.9,0.177,38200,BANKNIFTY13012238200CE,BANKNIFTY13012238200PE
9,36000,38173.9,38237.35,38173.9,38205.6,220110,BANKNIFTY,,Green,Red,38202.05,38203.65,,38216.0,38179.35,0.218,38200,BANKNIFTY13012238200CE,BANKNIFTY13012238200PE
10,36300,38203.65,38216.0,38179.35,38202.05,220110,BANKNIFTY,,Red,Green,38232.7,38200.65,,38249.85,38199.9,0.312,38200,BANKNIFTY13012238200CE,BANKNIFTY13012238200PE
11,36600,38200.65,38249.85,38199.9,38232.7,220110,BANKNIFTY,,Green,Red,38182.9,38238.05,,38260.55,38173.2,0.166,38200,BANKNIFTY13012238200CE,BANKNIFTY13012238200PE
12,36900,38238.05,38260.55,38173.2,38182.9,220110,BANKNIFTY,,Red,Red,38139.55,38180.05,Bullish Engulfing,38182.5,38114.5,0.185,38200,BANKNIFTY13012238200CE,BANKNIFTY13012238200PE
13,37200,38180.05,38182.5,38114.5,38139.55,220110,BANKNIFTY,,Red,Green,38172.9,38139.6,Bearish Engulfing,38183.4,38131.9,0.229,38100,BANKNIFTY13012238100CE,BANKNIFTY13012238100PE
14,37500,38139.6,38183.4,38131.9,38172.9,220110,BANKNIFTY,49.44,Green,Red,38131.4,38172.05,,38186.0,38129.55,0.383,38200,BANKNIFTY13012238200CE,BANKNIFTY13012238200PE
