,date,time,symbol,strike,expiry,open,high,low,close,volume,oi
46,220103,33300,NIFTY06012217200CE,17200,220106,231.3,269.9,228.35,262.0,180800,1670050
61,220103,34200,NIFTY06012217250CE,17250,220106,251.45,256.35,251.1,254.25,9250,249500
117,220103,35100,NIFTY06012217250CE,17250,220106,246.75,248.2,244.4,246.35,8150,251650
179,220103,36000,NIFTY06012217250CE,17250,220106,270.15,271.85,266.95,268.05,2300,229650
205,220103,36900,NIFTY06012217300CE,17300,220106,234.2,234.2,228.35,229.25,40850,1677900
254,220103,37800,NIFTY06012217300CE,17300,220106,245.0,246.4,243.85,245.85,16550,1600700
287,220103,38700,NIFTY06012217300CE,17300,220106,246.2,248.0,244.85,245.5,12800,1572550
329,220103,39600,NIFTY06012217300CE,17300,220106,252.15,253.9,252.15,252.5,14250,1543200
385,220103,40500,NIFTY06012217300CE,17300,220106,259.3,262.0,257.6,257.65,30950,1470150
389,220103,41400,NIFTY06012217300CE,17300,220106,259.75,260.0,257.85,258.55,9650,1413850
460,220103,42300,NIFTY06012217300CE,17300,220106,257.9,259.0,255.8,256.15,6750,1367150
484,220103,43200,NIFTY06012217300CE,17300,220106,259.0,260.3,258.0,258.1,11200,1356800
532,220103,44100,NIFTY06012217300CE,17300,220106,257.15,259.9,257.15,259.15,9000,1349800
594,220103,45000,NIFTY06012217350CE,17350,220106,229.9,234.55,229.5,231.7,21400,573550
616,220103,45900,NIFTY06012217350CE,17350,220106,258.8,258.8,255.35,258.35,7300,543700
669,220103,46800,NIFTY06012217350CE,17350,220106,256.0,257.7,255.65,257.6,1150,542900
697,220103,47700,NIFTY06012217350CE,17350,220106,260.4,263.0,259.0,261.85,5850,541750
740,220103,48600,NIFTY06012217350CE,17350,220106,262.7,266.0,260.1,260.2,9200,536400
756,220103,49500,NIFTY06012217350CE,17350,220106,261.0,262.85,260.0,260.7,3750,530300
781,220103,50400,NIFTY06012217400CE,17400,220106,232.0,236.8,232.0,234.5,34600,2434350
828,220103,51300,NIFTY06012217400CE,17400,220106,248.85,253.3,247.95,252.4,66000,2164200
854,220103,52200,NIFTY06012217400CE,17400,220106,263.25,263.75,258.25,258.3,44600,1739100
925,220103,53100,NIFTY06012217450CE,17450,220106,233.05,235.55,232.0,233.3,16050,421100
983,220103,54000,NIFTY06012217400CE,17400,220106,255.55,268.45,251.0,266.1,86750,1501850
1012,220103,54900,NIFTY06012217400CE,17400,220106,265.0,265.4,262.95,264.05,53550,1370250
1076,220104,33300,NIFTY06012217450CE,17450,220106,262.75,262.75,234.6,252.65,16300,299300
1118,220104,34200,NIFTY06012217450CE,17450,220106,266.0,274.6,260.95,261.8,6350,276100
1149,220104,35100,NIFTY06012217450CE,17450,220106,240.0,254.0,240.0,246.8,11250,256000
1178,220104,36000,NIFTY06012217500CE,17500,220106,229.5,231.1,225.5,226.85,63350,1983350
1232,220104,36900,NIFTY06012217500CE,17500,220106,248.95,251.6,248.0,249.1,66850,1936350
1284,220104,37800,NIFTY06012217500CE,17500,220106,238.25,242.8,237.85,240.0,26900,1897050
1330,220104,38700,NIFTY06012217450CE,17450,220106,264.1,272.1,259.15,272.1,2800,213250
1372,220104,39600,NIFTY06012217500CE,17500,220106,237.8,238.7,233.0,236.0,7850,1875800
1412,220104,40500,NIFTY06012217450CE,17450,220106,263.75,263.8,255.5,262.0,3750,211050
1457,220104,41400,NIFTY06012217450CE,17450,220106,256.45,256.45,252.6,252.6,1550,206850
1492,220104,42300,NIFTY06012217500CE,17500,220106,232.25,235.0,230.25,230.6,20050,1791600
1547,220104,43200,NIFTY06012217500CE,17500,220106,235.8,235.8,231.55,234.0,13700,1777700
1568,220104,44100,NIFTY06012217500CE,17500,220106,251.75,252.25,245.0,245.05,56350,1778950
1629,220104,45000,NIFTY06012217500CE,17500,220106,246.0,246.0,237.4,240.05,25950,1670000
1663,220104,45900,NIFTY06012217500CE,17500,220106,256.0,258.5,249.2,249.3,24900,1667300
1688,220104,46800,NIFTY06012217500CE,17500,220106,250.75,251.6,248.25,248.25,24900,1605800
1713,220104,47700,NIFTY06012217500CE,17500,220106,233.95,233.95,224.25,229.15,19850,1523150
1765,220104,48600,NIFTY06012217500CE,17500,220106,242.7,247.5,239.7,245.8,45300,1506900
1819,220104,49500,NIFTY06012217450CE,17450,220106,253.4,255.0,247.35,250.0,26200,194700
1848,220104,50400,NIFTY06012217500CE,17500,220106,231.25,235.8,231.25,231.55,26650,1436550
