,date,time,symbol,strike,expiry,open,high,low,close,volume,oi
53,220103,33300,NIFTY06012217600PE,17600,220106,248.05,250.35,218.0,223.9,26100,139150
63,220103,34200,NIFTY06012217700PE,17700,220106,258.6,258.6,252.1,255.0,10100,88200
107,220103,35100,NIFTY06012217700PE,17700,220106,259.65,262.85,259.45,261.3,2300,95600
188,220103,36000,NIFTY06012217700PE,17700,220106,234.7,238.05,232.75,236.65,9750,133450
227,220103,36900,NIFTY06012217700PE,17700,220106,231.2,236.0,230.85,236.0,3550,155700
265,220103,37800,NIFTY06012217750PE,17750,220106,260.75,261.9,259.75,261.0,250,18050
296,220103,38700,NIFTY06012217750PE,17750,220106,258.45,258.95,258.45,258.95,200,18900
361,220103,39600,NIFTY06012217750PE,17750,220106,251.1,251.1,250.0,250.8,550,19450
415,220103,40500,NIFTY06012217750PE,17750,220106,242.55,242.55,239.65,242.0,750,20350
461,220103,41400,NIFTY06012217750PE,17750,220106,241.95,242.35,241.95,242.35,50,22450
512,220103,42300,NIFTY06012217750PE,17750,220106,242.2,245.95,242.2,245.9,750,20450
555,220103,43200,NIFTY06012217750PE,17750,220106,243.0,243.85,241.9,243.5,900,20800
589,220103,44100,NIFTY06012217750PE,17750,220106,244.85,244.85,242.0,242.0,450,20900
636,220103,45000,NIFTY06012217750PE,17750,220106,230.2,230.2,225.5,227.85,3150,24850
674,220103,45900,NIFTY06012217800PE,17800,220106,250.0,253.35,249.95,250.75,5600,105050
709,220103,46800,NIFTY06012217800PE,17800,220106,252.5,252.5,250.3,251.05,2250,109450
782,220103,47700,NIFTY06012217800PE,17800,220106,247.4,248.55,245.0,247.0,1700,115950
813,220103,48600,NIFTY06012217800PE,17800,220106,243.7,246.3,241.0,245.4,4500,131850
857,220103,49500,NIFTY06012217800PE,17800,220106,245.0,245.0,241.2,244.15,3350,126550
887,220103,50400,NIFTY06012217850PE,17850,220106,271.85,271.85,267.0,267.0,1000,10700
