,date,time,symbol,strike,expiry,open,high,low,close,volume,oi
0,220103,33300,BANKNIFTY06012235700PE,35700,220106,361.55,395.1,310.05,342.65,92850,150250
1,220103,33600,BANKNIFTY06012235600PE,35600,220106,279.1,289.9,271.45,289.9,148725,451975
2,220103,33900,BANKNIFTY06012235600PE,35600,220106,345.55,351.2,320.0,345.85,277050,533700
3,220103,34200,BANKNIFTY06012235600PE,35600,220106,320.05,324.95,308.55,320.45,156650,653600
4,220103,34500,BANKNIFTY06012235700PE,35700,220106,361.0,366.75,349.95,360.65,109950,452625
5,220103,34800,BANKNIFTY06012235700PE,35700,220106,330.4,342.6,328.0,335.0,90625,491600
6,220103,35100,BANKNIFTY06012235800PE,35800,220106,392.0,400.0,379.75,382.45,45925,186125
7,220103,35400,BANKNIFTY06012235800PE,35800,220106,319.5,325.9,312.35,312.7,120975,288250
8,220103,35700,BANKNIFTY06012235800PE,35800,220106,300.5,314.8,300.4,313.8,125875,393325
9,220103,36000,BANKNIFTY06012235900PE,35900,220106,357.45,359.1,347.65,353.75,36375,206075
10,220103,36300,BANKNIFTY06012235800PE,35800,220106,290.1,296.45,288.55,293.95,85900,658925
11,220103,36600,BANKNIFTY06012235800PE,35800,220106,290.0,295.0,285.15,293.15,78475,706325
12,220103,36900,BANKNIFTY06012235800PE,35800,220106,296.65,304.3,294.0,302.6,125275,772200
13,220103,37200,BANKNIFTY06012235900PE,35900,220106,349.3,351.3,340.15,340.85,20775,256150
14,220103,37500,BANKNIFTY06012235900PE,35900,220106,318.5,324.95,314.45,324.0,47675,256600
15,220103,37800,BANKNIFTY06012235900PE,35900,220106,313.75,314.85,302.35,305.8,116525,329525
16,220103,38100,BANKNIFTY06012235900PE,35900,220106,306.75,307.05,302.4,304.1,72625,454375
17,220103,38400,BANKNIFTY06012235900PE,35900,220106,314.25,314.25,308.4,312.45,67625,502475
18,220103,38700,BANKNIFTY06012235900PE,35900,220106,317.3,317.3,310.3,315.4,54950,533100
19,220103,39000,BANKNIFTY06012235900PE,35900,220106,317.2,319.2,315.0,318.2,47475,570025
20,220103,39300,BANKNIFTY06012235900PE,35900,220106,320.0,321.65,316.0,316.65,33775,571175
21,220103,39600,BANKNIFTY06012235900PE,35900,220106,303.2,304.0,297.0,303.15,77375,609650
22,220103,39900,BANKNIFTY06012235900PE,35900,220106,306.35,306.35,298.0,301.15,64600,693825
23,220103,40200,BANKNIFTY06012236000PE,36000,220106,361.15,362.0,358.8,361.0,31200,784150
24,220103,40500,BANKNIFTY06012236000PE,36000,220106,315.0,323.05,313.1,321.8,121400,828700
25,220103,40800,BANKNIFTY06012236000PE,36000,220106,306.0,308.8,298.15,305.9,236975,989325
26,220103,41100,BANKNIFTY06012236000PE,36000,220106,307.2,313.8,306.6,311.0,96500,1068350
27,220103,41400,BANKNIFTY06012235900PE,35900,220106,273.5,277.0,272.4,276.2,64225,812675
28,220103,41700,BANKNIFTY06012235900PE,35900,220106,288.5,288.55,280.05,280.05,77850,792925
29,220103,42000,BANKNIFTY06012236000PE,36000,220106,337.7,338.35,319.8,327.65,124400,1201475
30,220103,42300,BANKNIFTY06012235900PE,35900,220106,278.6,281.85,276.7,281.65,43250,829350
31,220103,42600,BANKNIFTY06012236000PE,36000,220106,331.15,333.9,330.65,333.0,32000,1237500
32,220103,42900,BANKNIFTY06012236000PE,36000,220106,326.05,331.75,325.6,328.95,32000,1245900
33,220103,43200,BANKNIFTY06012236000PE,36000,220106,321.1,325.15,314.15,324.75,118425,1257100
34,220103,43500,BANKNIFTY06012236000PE,36000,220106,324.7,330.35,324.25,329.5,47600,1345900
35,220103,43800,BANKNIFTY06012236000PE,36000,220106,329.8,330.05,326.8,328.85,38925,1367000
36,220103,44100,BANKNIFTY06012236000PE,36000,220106,317.05,317.65,304.0,305.75,205975,1407025
37,220103,44400,BANKNIFTY06012236100PE,36100,220106,343.9,350.15,343.1,348.45,23100,224050
38,220103,44700,BANKNIFTY06012236100PE,36100,220106,339.15,342.4,334.05,342.05,35925,238125
39,220103,45000,BANKNIFTY06012236100PE,36100,220106,326.45,329.1,321.85,323.95,72700,280450
40,220103,45300,BANKNIFTY06012236100PE,36100,220106,334.0,334.0,331.3,332.7,29725,333200
41,220103,45600,BANKNIFTY06012236100PE,36100,220106,319.0,323.5,315.05,321.25,64150,368925
42,220103,45900,BANKNIFTY06012236200PE,36200,220106,359.55,362.8,354.9,356.25,37575,262200
43,220103,46200,BANKNIFTY06012236200PE,36200,220106,337.05,345.4,336.35,345.4,69100,309275
44,220103,46500,BANKNIFTY06012236100PE,36100,220106,302.9,314.05,302.3,313.3,87475,567000
45,220103,46800,BANKNIFTY06012236100PE,36100,220106,310.35,311.0,304.1,304.85,48325,614575
46,220103,47100,BANKNIFTY06012236100PE,36100,220106,305.8,307.75,300.55,301.65,32525,647125
47,220103,47400,BANKNIFTY06012236200PE,36200,220106,354.0,354.0,339.55,347.65,71450,409300
48,220103,47700,BANKNIFTY06012236200PE,36200,220106,341.1,344.35,337.85,340.95,42275,429900
49,220103,48000,BANKNIFTY06012236200PE,36200,220106,339.6,349.3,336.15,336.15,105025,447300
50,220103,48300,BANKNIFTY06012236200PE,36200,220106,331.6,337.2,327.5,331.25,77025,506075
51,220103,48600,BANKNIFTY06012236200PE,36200,220106,322.9,329.0,317.9,329.0,63625,572475
52,220103,48900,BANKNIFTY06012236100PE,36100,220106,272.8,281.4,272.3,280.35,38425,726625
53,220103,49200,BANKNIFTY06012236200PE,36200,220106,337.9,344.45,333.45,342.6,105100,607675
54,220103,49500,BANKNIFTY06012236200PE,36200,220106,327.4,327.95,322.05,323.4,56000,605350
55,220103,49800,BANKNIFTY06012236200PE,36200,220106,297.8,297.8,287.0,290.25,122825,599400
56,220103,50100,BANKNIFTY06012236200PE,36200,220106,294.0,298.7,291.9,298.0,89000,699000
57,220103,50400,BANKNIFTY06012236200PE,36200,220106,295.45,297.0,289.15,290.65,73525,725725
58,220103,50700,BANKNIFTY06012236300PE,36300,220106,339.05,344.0,339.0,340.25,34100,312250
59,220103,51000,BANKNIFTY06012236300PE,36300,220106,320.5,321.45,317.25,317.45,59175,350525
60,220103,51300,BANKNIFTY06012236300PE,36300,220106,315.05,319.95,313.45,313.45,71525,450625
61,220103,51600,BANKNIFTY06012236400PE,36400,220106,336.25,342.8,335.2,339.05,30525,167525
62,220103,51900,BANKNIFTY06012236400PE,36400,220106,334.1,337.6,327.0,331.0,62225,207725
63,220103,52200,BANKNIFTY06012236400PE,36400,220106,326.0,337.6,324.95,335.55,97825,313300
64,220103,52500,BANKNIFTY06012236400PE,36400,220106,303.0,303.0,289.2,291.8,138825,335525
65,220103,52800,BANKNIFTY06012236400PE,36400,220106,306.5,310.85,301.0,302.2,68275,440050
66,220103,53100,BANKNIFTY06012236400PE,36400,220106,301.0,306.5,296.2,306.5,80375,474650
67,220103,53400,BANKNIFTY06012236400PE,36400,220106,326.9,337.75,325.45,329.4,103525,465200
68,220103,53700,BANKNIFTY06012236400PE,36400,220106,318.9,320.7,316.85,316.85,72600,491225
69,220103,54000,BANKNIFTY06012236400PE,36400,220106,332.15,341.85,306.6,312.6,184250,473450
70,220103,54300,BANKNIFTY06012236400PE,36400,220106,317.2,321.6,314.3,317.35,42850,481500
71,220103,54600,BANKNIFTY06012236400PE,36400,220106,312.95,320.75,312.95,315.35,88225,480050
72,220103,54900,BANKNIFTY06012236400PE,36400,220106,298.7,300.5,296.65,299.45,89075,457500
73,220103,55200,BANKNIFTY06012236400PE,36400,220106,274.0,278.45,273.8,275.5,92800,439975
74,220103,55500,BANKNIFTY06012236500PE,36500,220106,317.6,318.8,300.0,305.7,135600,789175
